Movie ID,Title,Directors,Top Cast
792307,Poor Things,Yorgos Lanthimos,"Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef, Christopher Abbott"
1865,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane, Kevin McNally"
863,Toy Story 2,John Lasseter,"Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer, Don Rickles"
335983,Venom,Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze, Reid Scott"
50270,Paprika,Tinto Brass,"Debora Caprioglio, Stéphane Ferrara, Martine Brochard, Stéphane Bonnet, Rossana Gavinel"
365177,Borderlands,Eli Roth,"Cate Blanchett, Kevin Hart, Edgar Ramírez, Jamie Lee Curtis, Ariana Greenblatt"
1159311,My Hero Academia: You're Next,Tensai Okamura,"Daiki Yamashita, Meru Nukumi, Mamoru Miyano, Kenta Miyake, Nobuhiko Okamoto"
792307,Poor Things,Yorgos Lanthimos,"Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef, Christopher Abbott"
1865,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane, Kevin McNally"
863,Toy Story 2,John Lasseter,"Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer, Don Rickles"
335983,Venom,Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze, Reid Scott"
19912,The Final Destination,David R. Ellis,"Bobby Campo, Shantel VanSanten, Mykelti Williamson, Haley Webb, Nick Zano"
1216191,Oddity,Damian Mc Carthy,"Carolyn Bracken, Jonathan French, Steve Wall, Joe Rooney, Gwilym Lee"
898859,Tomorrow Before After,Alfonso Quijada,Natalia Reyes
146233,Prisoners,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard"
1147710,Hijack 1971,Kim Sung-han,"Ha Jung-woo, Yeo Jin-goo, Sung Dong-il, Chae Soo-bin, Moon You-kang"
1114894,Star Trek: Section 31,Olatunde Osunsanmi,"Michelle Yeoh, Omari Hardwick, Sam Richardson, Kacey Rohl, Sven Ruygrok"
14,American Beauty,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari"
10191,How to Train Your Dragon,"Chris Sanders, Dean DeBlois","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill"
453395,Doctor Strange in the Multiverse of Madness,Sam Raimi,"Benedict Cumberbatch, Xochitl Gomez, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong"
290098,The Handmaiden,Park Chan-wook,"Kim Min-hee, Kim Tae-ri, Ha Jung-woo, Cho Jin-woong, Kim Hae-sook"
1052243,MANUEL,"Stefano Mangoni, Mario d'Anna",
1124641,Classified,Roel Reiné,"Aaron Eckhart, Tim Roth, Abigail Breslin, Matt Hookings, Lucky Ali"
210577,Gone Girl,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry, Carrie Coon"
11,Star Wars,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness"
1216191,Oddity,Damian Mc Carthy,"Carolyn Bracken, Jonathan French, Steve Wall, Joe Rooney, Gwilym Lee"
1147710,Hijack 1971,Kim Sung-han,"Ha Jung-woo, Yeo Jin-goo, Sung Dong-il, Chae Soo-bin, Moon You-kang"
10020,Beauty and the Beast,"Gary Trousdale, Kirk Wise","Paige O'Hara, Robby Benson, Richard White, Jerry Orbach, David Ogden Stiers"
293660,Deadpool,Tim Miller,"Ryan Reynolds, Morena Baccarin, Ed Skrein, T.J. Miller, Gina Carano"
146233,Prisoners,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard"
290098,The Handmaiden,Park Chan-wook,"Kim Min-hee, Kim Tae-ri, Ha Jung-woo, Cho Jin-woong, Kim Hae-sook"
1125510,The Platform 2,Galder Gaztelu-Urrutia,"Milena Smit, Hovik Keuchkerian, Natalia Tena, Óscar Jaenada, Ivan Massagué"
787699,Wonka,Paul King,"Timothée Chalamet, Calah Lane, Keegan-Michael Key, Hugh Grant, Paterson Joseph"
68718,Django Unchained,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson"
1360733,Verano en diciembre,Carolina África,"Carmen Machi, Bárbara Lennie, Irene Escolar, Victoria Luengo, Beatriz Grimaldos"
365177,Borderlands,Eli Roth,"Cate Blanchett, Kevin Hart, Edgar Ramírez, Jamie Lee Curtis, Ariana Greenblatt"
315635,Spider-Man: Homecoming,Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei, Jon Favreau"
566525,Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,"Simu Liu, Tony Leung, Awkwafina, Ben Kingsley, Meng'er Zhang"
926393,The Equalizer 3,Antoine Fuqua,"Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman, Gaia Scodellaro"
10191,How to Train Your Dragon,"Chris Sanders, Dean DeBlois","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill"
493922,Hereditary,Ari Aster,"Toni Collette, Alex Wolff, Gabriel Byrne, Milly Shapiro, Ann Dowd"
280,Terminator 2: Judgment Day,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Earl Boen"
